unit,model,split,accuracy,precision,recall,f1
sentence,Logistic Regression,test,0.8099302150132026,0.6847685415629666,0.8340735126942024,0.7520825503126388
sentence,Linear SVM,test,0.8901357978121464,0.817540393706343,0.8781356574460023,0.8467553346974569
sentence,XGBoost,test,0.7758916970535228,0.788179175672654,0.4808639636225843,0.5973113926910549
document,Logistic Regression,test,0.961218836565097,0.9641873278236914,0.9234828496042217,0.9433962264150944
document,Linear SVM,test,0.9897343979142904,0.9849565756823822,0.9857209374514978,0.985338608331394
document,XGBoost,test,0.9543207864863397,0.9542653259811872,0.9132391742976874,0.9333016099611389
