model,split,accuracy,precision,recall,f1
Logistic Regression,test,0.8099302150132026,0.6847685415629666,0.8340735126942024,0.7520825503126388
Linear SVM,test,0.8901357978121464,0.817540393706343,0.8781356574460023,0.8467553346974569
XGBoost,test,0.7758916970535228,0.788179175672654,0.4808639636225843,0.5973113926910549
