model,split,accuracy,precision,recall,f1
Logistic Regression,test,0.961218836565097,0.9641873278236914,0.9234828496042217,0.9433962264150944
Linear SVM,test,0.9897343979142904,0.9849565756823822,0.9857209374514978,0.985338608331394
XGBoost,test,0.9543207864863397,0.9542653259811872,0.9132391742976874,0.9333016099611389
